itemId	ANSWER	count	structural_condition_str	agent_first_str	anim_first_str	NP_first_str
t01_1_2	PP>OBJ	22				1
t01_1_2	OBJ>PP	11		1	1	
t02_1_2	PP>OBJ	22				1
t02_1_2	OBJ>PP	11		1	1	
t03_1_2	PP>OBJ	20				1
t03_1_2	OBJ>PP	13		1	1	
t04_1_2	PP>OBJ	25				1
t04_1_2	OBJ>PP	8		1	1	
t05_1_2	PP>OBJ	19				1
t05_1_2	OBJ>PP	14		1	1	
t06_1_2	PP>OBJ	25				1
t06_1_2	OBJ>PP	8		1	1	
t07_1_2	PP>OBJ	14				1
t07_1_2	OBJ>PP	19			1	
t08_1_2	PP>OBJ	12				1
t08_1_2	OBJ>PP	21			1	
t09_1_2	PP>OBJ	15				1
t09_1_2	OBJ>PP	18			1	
t10_1_2	PP>OBJ	16				1
t10_1_2	OBJ>PP	17			1	
t11_1_2	PP>OBJ	14				1
t11_1_2	OBJ>PP	19			1	
t12_1_2	PP>OBJ	19				1
t12_1_2	OBJ>PP	14			1	
t13_1_2	OBJ>PP	26				
t13_1_2	PP>OBJ	7				1
t14_1_2	OBJ>PP	25				
t14_1_2	PP>OBJ	8				1
t15_1_2	OBJ>PP	24				
t15_1_2	PP>OBJ	9				1
t16_1_2	OBJ>PP	19				
t16_1_2	PP>OBJ	14				1
t17_1_2	OBJ>PP	24				
t17_1_2	PP>OBJ	9				1
t18_1_2	OBJ>PP	30				
t18_1_2	PP>OBJ	3				1
t19_1_2	OBJ>PP	19				
t19_1_2	PP>OBJ	14				1
t20_1_2	OBJ>PP	23				
t20_1_2	PP>OBJ	10				1
t21_1_2	OBJ>PP	18				
t21_1_2	PP>OBJ	15				1
t22_1_2	OBJ>PP	23				
t22_1_2	PP>OBJ	10				1
t23_1_2	OBJ>PP	19				
t23_1_2	PP>OBJ	14				1
t24_1_2	OBJ>PP	20				
t24_1_2	PP>OBJ	13				1
t01	OBJ>PP	25				
t01	PP>OBJ	6				1
t02	OBJ>PP	25				
t02	PP>OBJ	6				1
t03	OBJ>PP	26				
t03	PP>OBJ	5				1
t04	OBJ>PP	15				
t04	PP>OBJ	16				1
t05	OBJ>PP	12				
t05	PP>OBJ	19				1
t06	OBJ>PP	17				
t06	PP>OBJ	14				1
t07	OBJ>PP	15				
t07	PP>OBJ	16				1
t08	OBJ>PP	17				
t08	PP>OBJ	14				1
t09	OBJ>PP	20				
t09	PP>OBJ	11				1
t10	OBJ>PP	17				
t10	PP>OBJ	14				1
t11	OBJ>PP	18				
t11	PP>OBJ	13				1
t12	OBJ>PP	18				
t12	PP>OBJ	13				1
t13	OBJ>PP	21				
t13	PP>OBJ	10	1			1
t14	OBJ>PP	20				
t14	PP>OBJ	11	1			1
t15	OBJ>PP	17				
t15	PP>OBJ	14	1			1
t16	OBJ>PP	21				
t16	PP>OBJ	10	1			1
t17	OBJ>PP	24				
t17	PP>OBJ	7	1			1
t18	OBJ>PP	13				
t18	PP>OBJ	18	1			1
t19	OBJ>PP	26				
t19	PP>OBJ	5	1			1
t20	OBJ>PP	23				
t20	PP>OBJ	8	1			1
t21	OBJ>PP	21				
t21	PP>OBJ	10	1			1
t22	OBJ>PP	23				
t22	PP>OBJ	8	1			1
t23	OBJ>PP	28				
t23	PP>OBJ	3	1			1
t24	OBJ>PP	27				
t24	PP>OBJ	4	1			1
